id,name,country,price
19058,Bowland cheese,England,9.7
19059,Domiati,,5.11
19060,Moellon Beloeil,,9.03
19061,Paraguay Cheese,,7.69
19062,Exquis,,3.07
19063,Stichelton,,7.29
19064,Trappista cheese,,7.68
19065,Yarg,England,7.24
19066,Jalapeño cheese,,1.59
3777,Montasio,Italy,5.27
19068,Wookie cheese,,8.91
19069,Cantal,France,5.66
19070,Naskavni,,1.83
19071,Pimento cheese,,2.59
19072,Manouri cheese,Greece,1.84
19073,Wensleydale,England,1.23
19074,Handkäse,Germany,3.55
19075,Bleu d'Auvergne,France,8.33
19076,Chechil,,7.6
19077,Crowdie,Scotland,1.19
19078,Rodoric cheese,Belgium,1.56
19079,Criollo cheese,Mexico,8.63
19080,Raejuusto,Finland,3.36
19081,Ricotta cheese,Italy,1.49
19082,Panela cheese,,5.34
19083,Remedou cheese,Belgium,1.56
19084,Swiss cheese,United States of America,2.76
8519,Havarti,Denmark,4.28
19086,Danish Blue cheese,Denmark,2.54
19087,Velveeta,United States of America,7.85
19088,Cotswold cheese,,5.44
19089,Brocciu,France,1.91
19090,Oaxaca cheese,Mexico,4.99
19091,Cashel Blue cheese,Republic of Ireland,8.08
19092,Whey cheese,,5.95
19093,Yunnan Cheese,,6.45
19094,Époisses de Bourgogne,France,4.47
19095,Queso Panela,,4.62
19096,Panquehue,,2.21
19097,Ackawi,,1.79
19098,Saga cheese,Denmark,6.75
19099,Ermite,Canada,8.45
19100,The Laughing Cow,France,3.01
19101,Herrgårdsost,Sweden,9.65
19102,Port-Salut cheese,France,6.71
19103,Churpee,,9.55
7071,Castelrosso,Italy,6.86
19105,Kaškaval,Romania,9.85
19106,Provoleta,Argentina,6.44
19107,Salmon Cream Cheese,,3.04
19108,Kefalotyri cheese,Greece,9.99
19109,Cabécou,France,3.19
19110,Fourme au Sauternes,,4.5
19111,Abbaye de Tamié,France,8.72
19112,Qurt,,1.57
19113,Baby Swiss Cheese,United States of America,9.66
19114,Pleasant Ridge Reserve,United States of America,9.11
19115,Liptauer,Italy,8.03
19116,Aveyronnais,France,8.75
19117,Kasseri,Greece,3.55
19118,Blue cheese,,6.41
19119,Cheese curds,United States of America,2.05
19120,Mt Tam,United States of America,6.21
19121,Fourme au Maury,,2.13
19122,Saint-Nectaire,France,1.43
19123,Castello Blue,,6.65
19124,Munster,France,8.0
4647,Raschera,Italy,1.78
19126,Chihuahua cheese,Mexico,7.6
19127,Pont-l'Évêque,France,9.25
19128,Xynomizithra,Greece,7.99
19129,Pepperjack cheese,United States of America,4.67
19130,Queso blanco,Mexico,8.31
19131,Chhenna Poda,India,9.56
19132,Zamorano cheese,Spain,3.36
19133,Hushållsost,Sweden,4.26
4618,Queso Palmita,,1.9
19135,Comté,France,1.49
19136,Bondost,Sweden,3.98
19137,Jibneh Arabieh cheese,,4.96
19138,Caboc,Scotland,5.36
19139,Manchego cheese,Spain,9.44
19140,Emmental,Switzerland,5.53
4281,Pepato,,6.99
6751,Bra,Italy,5.86
19143,Carré du Père Antoine,,7.4
19144,Granular cheese,,3.25
9157,Langres,France,2.6
19146,Mimolette,Belgium,8.47
19147,Olivet cendré,France,2.04
19148,Requeijão,Brazil,5.52
19149,Valdeón cheese,Spain,6.45
19150,Jarlsberg cheese,Norway,5.42
19151,Campo de montalban,Spain,5.76
19152,Kesong puti,,6.21
19153,Lüneberg cheese,,4.57
19154,Oka cheese,Canada,6.62
4842,Robiola,Italy,6.78
19156,Livarot,France,4.88
19157,Five Counties cheese,England,2.24
19158,Cancoillotte,France,6.67
19159,Salers,France,3.11
19160,Bokmakiri cheese,South Africa,4.37
19161,Majorero cheese,Spain,3.48
19162,Abbaye de Belloc,France,3.7
4260,Pecorino,Italy,7.22
326,Gorgonzola,Italy,5.94
19165,Colby cheese,United States of America,8.18
19166,Black Butte,United States of America,4.72
19167,Cuba cheese,United States of America,4.41
19168,Paški sir,,7.16
19169,Leerdammer,Netherlands,8.18
19170,Blue Castello,Denmark,5.51
19171,Affidelice,,8.7
19172,Beaufort,France,3.89
19173,Minas cheese,Brazil,5.73
19174,Valençay,France,2.41
19175,Dorset Drum,England,7.34
19176,Santarém cheese,,9.77
7619,Derby Cheese,,1.01
19178,Fløtemysost,,5.48
19179,Chhena,India,9.69
19180,Chanco cheese,,1.01
19181,Broccio Passu,,1.9
4845,Rochebarron,France,8.25
19183,Hoch-Ybrig,Switzerland,1.68
19184,Stinking Bishop cheese,England,3.84
19185,Cottage cheese,,7.1
19186,Applewood cheese,,7.45
19187,Cabri Ariègeois,,1.64
19188,Liederkranz cheese,United States of America,2.57
19189,Cabrales cheese,Spain,2.18
19190,Halloumi,Greece,3.9
19191,Chesdale Cheese,,3.56
19192,Red Windsor cheese,England,9.01
19193,Cotija cheese,Mexico,2.87
19194,Bryndza,Romania,7.28
4629,Raclette,France,3.09
19196,Morbier,France,2.03
19197,Chaumes cheese,France,7.17
9857,Parmigiano Reggiano,Italy,5.58
19199,Brimsen,,5.28
6898,Caciocavallo,Romania,5.54
19201,Telemea,Romania,1.3
19202,Friulano,Canada,6.1
19203,Torta del Casar,Spain,8.49
19204,Little swiss,France,5.0
19205,Coolea,Republic of Ireland,8.96
19206,Nabulsi cheese,,1.44
19207,Golka,Poland,8.28
19208,Sardo cheese,Argentina,2.17
19209,Double Gloucester cheese,England,8.53
19210,Maredsous cheese,,9.67
19211,Chaubier,France,6.33
19212,Abbaye de Tamie,France,8.19
19213,Pied-de-Vent,Canada,9.3
19214,Herve cheese,Belgium,3.01
5780,Toma Piemontese,,2.8
4981,Saint Albray,France,8.52
19217,Roccolo,,7.08
19218,Explorateur,France,5.49
19219,La Serena cheese,Spain,2.41
19220,Cheez Whiz,United States of America,8.99
19221,Triple cream,,6.59
19222,Orval,,6.07
19223,Easy Cheese,United States of America,6.74
19224,L'Etivaz,,6.31
6689,Bocconcini,Italy,3.39
19226,Cheese spread,,6.15
19227,Picón Bejes-Tresviso,Spain,6.48
19228,Abertam cheese,,2.19
19229,Livno cheese,,7.19
19230,Cheddar cheese,Republic of Ireland,7.92
19231,Pizza cheese,,2.57
19232,Bleu de Bresse,France,7.81
19233,Brick cheese,United States of America,7.67
19234,Nökkelost cheese,Norway,2.59
19235,Buxton Blue cheese,England,9.71
19236,Aisy cendré,,9.95
19237,Pouligny Saint-Pierre,France,2.71
19238,Sainte-Maure de Touraine,France,2.26
19239,Banon de Provence,France,3.25
19240,Toma cheese,Italy,5.27
19241,Cream cheese,United States of America,5.13
19242,Fourme de Montbrison,France,7.43
19243,Selles-sur-Cher,France,9.41
19244,Gamalost,Norway,2.23
19245,Catupiry,Brazil,1.05
19246,American cheese,United States of America,9.78
19247,Wagasi,,8.64
19248,Höfðingi,,3.26
19249,Green cheese,,6.0
19250,Alpine Shepherd,United States of America,5.75
8293,Gotland Blue,Sweden,3.23
19252,Jameed,,1.82
19253,Pavé de Soignies,,7.14
19254,Ackawi cheese,,4.42
8002,Fine Fettle Yorkshire Cheese,England,7.04
19256,Lappi cheese,Finland,3.83
19257,Maasdam cheese,Netherlands,3.96
19258,Hirtenkäse,,1.08
19259,Västerbotten cheese,Sweden,6.32
19260,Babybel,United States of America,3.41
19261,D'Isigny,,1.64
19262,Creole cream cheese,United States of America,3.44
19263,Anthotyros cheese,Greece,7.96
19264,Trou du Cru,France,8.37
1905,Primula,,1.04
1462,Gruyère,Switzerland,9.88
19267,Itche Bai,France,9.05
19268,Port-du-Salut cheese,France,7.08
19269,Cougar Gold cheese,United States of America,5.04
19270,Azeitao,Portugal,1.79
19271,Bel Paese cheese,Italy,4.41
19272,Cheshire Mammoth Cheese,,7.49
19273,Marble cheese,,5.06
19274,Maytag Blue cheese,United States of America,6.13
19275,Abondance,France,7.86
19276,Pantysgawn,Wales,2.52
19277,Leyden cheese,Netherlands,6.97
6854,Bundz,Poland,8.67
4870,Roquefort,France,5.51
19280,Bleu Bénédictin,Canada,7.84
5468,Stracchino,Italy,7.82
19282,Dunlop cheese,Scotland,3.78
19283,Farmer cheese,,4.53
19284,Serra da Estrela cheese,,2.83
19285,Svecia,Sweden,3.8
19286,Brânză de burduf,Romania,2.46
19287,Le Welsch,,5.64
19288,Weisslacker,Germany,6.58
19289,Y Fenni,Wales,2.76
19290,Brie de Meaux,France,6.31
19291,Lanark Blue,Scotland,7.18
19292,Oscypek,Poland,6.32
19293,Barat,United States of America,1.21
19294,Mariolles,,1.72
19295,Brussels' cheese,Belgium,6.81
19296,Lymeswold cheese,England,8.51
19297,Baguette laonnaise,France,4.24
19298,Gaperon,France,1.9
8305,Grana,Italy,4.77
7068,Castelmagno,Italy,4.99
19301,Snøfrisk,Norway,9.27
19302,Chèvre noir,Canada,3.86
19303,Pultost cheese,,8.58
19304,Sottocenere al tartufo,Italy,3.74
19305,Win shulers,,8.67
19306,Picodon,France,4.63
19307,Boursin,France,2.91
19308,Turoš,Croatia,1.74
19309,Labneh,,4.31
19310,Rokpol,,8.55
19311,Adelost,Sweden,2.75
19312,Pilgrim's Choice,England,7.92
19313,Cure Nantais,,9.1
19314,Wisconsin cheese,,6.39
19315,Mottin charentais,France,1.3
19316,Romano cheese,Italy,5.84
19317,Affidelice au Chablis,France,5.92
19318,Beyaz peynir,,5.77
19319,Le Brin,,3.07
19320,Tillamook Cheddar,United States of America,2.21
19321,Édel de Cléron,,9.91
19322,Pinconning cheese,United States of America,3.88
19323,Mozzarella,Italy,7.55
19324,Brillat-Savarin cheese,France,8.3
19325,Casu marzu,Italy,7.84
518,Paneer,India,5.44
19327,Big Woods Blue,United States of America,6.22
19328,Brine cheese,,5.63
19329,Cathare,France,1.03
19330,Añejo Enchilado cheese,,6.55
19331,La Tur,,2.81
19332,Gouda,Netherlands,5.87
19333,Testouri cheese,,9.59
19334,Queijo coalho,Brazil,2.75
19335,Rocamadour,France,7.44
19336,Swaledale,England,1.21
19337,Danbo cheese,Denmark,5.38
19338,Parrano cheese,Netherlands,1.54
19339,Le Riopelle de l'Isle,Canada,1.29
19340,Taleggio cheese,Italy,2.86
19341,Crozier Blue,Republic of Ireland,2.67
4874,Rosa Camuna,Italy,9.42
19343,Passendale cheese,Belgium,9.12
19344,Monterey Jack,United States of America,5.79
19345,Sir Laurier d'Arthabaska,Canada,5.26
19346,Asiago cheese,,6.37
19347,Coquetdale cheese,,3.45
19348,Tylzycki,Poland,9.39
19349,Dragons Breath,Canada,2.71
19350,Milleens,Republic of Ireland,9.47
19351,Kraft Singles,United States of America,8.31
6899,Caciotta,Italy,4.0
19353,Prästost,Sweden,1.62
19354,Schabziger,Switzerland,7.63
19355,Tête de Moine,Switzerland,3.04
19356,Black Gold,United States of America,3.65
19357,Hoop cheese,United States of America,1.35
19358,Bryndza Podhalańska,Poland,5.98
19359,Beaufort Alpage,France,2.88
4670,Reblochon,Italy,8.56
7472,Crescenza,Italy,8.98
19362,Kefir cheese,,4.67
19363,Chaource,France,3.76
19364,Sour milk cheese,,4.07
19365,Old amsterdam cheese,,7.28
19366,Dovedale cheese,England,2.19
19367,Kenafa cheese,,8.66
19368,Flower of Rajya,,2.74
19369,Gubbeen cheese,Republic of Ireland,6.27
19370,São Jorge cheese,Portugal,3.58
19371,Sirene,Bulgaria,8.48
19372,Bergenost,,1.34
19373,Anari,,8.94
19374,Añejo cheese,Mexico,7.12
19375,Petit Soumaintrain,,7.44
19376,Piave cheese,Italy,5.46
19377,Bleu du Vercors-Sassenage,France,1.62
19378,Lancashire cheese,England,4.92
19379,Blanca Bianca,United States of America,1.56
19380,Tomme de Savoie,France,4.5
19381,Ġbejna,,4.8
19382,Prypiat Cheese,Ukraine,2.17
8659,Humboldt Fog,United States of America,2.36
19384,Vieux-Boulogne,France,4.34
19385,Sage Derby cheese,England,8.69
19386,Kavli,Norway,8.65
19387,Alderbrook,United States of America,7.21
19388,Dubliner cheese,Republic of Ireland,5.64
19389,Etorki,France,7.47
19390,Brânză topită,,3.53
19391,Pierce Pt,United States of America,9.61
19392,Tomme des Pyrenees,France,9.82
19393,Gevrik,,2.98
19394,Ami du Chambertin,,2.16
19395,Duberry cheese,England,6.48
19396,Metsovone cheese,Greece,1.32
19397,Le douanier,Canada,9.12
19398,String cheese,United States of America,1.77
19399,Andari cheese,,9.42
19400,Geitost,Norway,1.61
19401,Syrian cheese,,6.99
19402,Alouette,United States of America,6.68
19403,Chabichou,France,3.61
19404,Dorset Blue Vinney cheese,England,5.03
7888,Esrom,Denmark,7.47
19406,Greve cheese,Sweden,7.08
19407,Coleraine cheddar,,7.72
19408,Ardrahan cheese,Republic of Ireland,7.52
19409,Mankwold,England,3.74
19410,Chèvre cheese,France,8.54
3778,Monte Veronese,Italy,4.28
19412,Huntsman cheese,England,1.1
19413,Brînza,,4.96
19414,Camembert,France,2.94
19415,Norbury blue,England,6.1
19416,Pasta filata,Italy,9.73
19417,Casciotta d'Urbino,Italy,3.56
3798,Morlacco,Italy,8.76
19419,Cheshire cheese,England,2.63
4263,Pecorino Sardo,Italy,3.13
8056,Fontina,Italy,6.01
19422,Xynotyro cheese,Greece,9.06
19423,Corleggy,Republic of Ireland,6.69
452,Mascarpone,Italy,4.85
19425,Red Hawk,United States of America,1.19
19426,Harzer,Germany,5.62
19427,Bassigny au Porto,,8.52
19428,Provel cheese,United States of America,7.23
3587,Maroilles,France,6.43
19430,Berkswell,England,8.03
19431,Sweet Muenster Cheese,United States of America,8.29
19432,Laguiole,France,3.55
7504,Crucolo,Italy,7.26
19434,Primost,,9.6
19435,Saint Paulin,France,2.57
19436,Colby-Jack cheese,United States of America,9.88
19437,Caerphilly cheese,Wales,9.31
5921,Vacherin,France,1.0
19439,Tetilla,Spain,1.91
19440,Saint-Marcellin,France,4.5
19441,Rigotte de Condrieu,France,6.94
19442,Dairylea,,5.93
19443,Afuega'l pitu,Spain,7.39
19444,Couronne Lochoise,France,9.71
19445,Bleu de Gex,France,6.38
19446,Mahón cheese,Spain,7.42
567,Quark,Poland,1.85
19448,Chevington cheese,England,9.6
19449,Bayley Hazen Blue,United States of America,6.18
19450,Teleme cheese,,3.68
19451,Crottin de Chavignol,France,2.24
19452,Cooleeney,Republic of Ireland,4.64
6940,Cambozola,Germany,2.89
19454,Cup cheese,,8.55
19455,Rauchkäse,,4.53
19456,Processed cheese,United States of America,6.34
19457,Leipäjuusto,Finland,9.02
19458,Mató cheese,Spain,6.04
19459,Brie,France,7.98
19460,Banon,France,6.01
19461,Guyanés cheese,,5.9
19462,Muenster cheese,United States of America,8.85
19463,Tibetan cheese,,5.66
19464,Tomme d'Alsace,,8.6
19465,Garrotxa cheese,Spain,3.94
19466,Saint-André cheese,France,2.81
19467,Bleu des Causses,France,5.85
19468,Castelo Branco cheese,,5.63
19469,dsafdafda,,2.86
4264,Pecorino Siciliano,Italy,9.25
9931,Provolone,Italy,3.21
19472,Tintern,Wales,4.2
7656,Dolcelatte,Italy,5.37
9871,Pecorino Romano,Italy,2.82
19475,Stracciatella di Bufala,Italy,6.12
19476,Saint Agur Blue,France,6.68
19477,Oltermanni,Finland,5.13
19478,Mizithra cheese,Greece,7.69
19479,Reggianito,Argentina,6.85
19480,Pélardon,France,2.2
19481,Barbara Gilmour,Scotland,2.07
19482,Kernhem,,9.41
19483,Rushan,,3.16
19484,Fromager d'Affinois,France,2.95
19485,Bijou,United States of America,8.32
19486,Beer cheese,,7.07
19487,Shropshire Blue cheese,England,4.57
19488,Basket cheese,Italy,7.54
19489,Neufchâtel,France,5.67
19490,Feta,Greece,2.85
19491,Tenshi Cheese,,2.36
19492,Aura,Finland,4.84
19493,Kefalograviera,Greece,7.44
19494,Scamorza cheese,Italy,6.06
19495,Grana Padano cheese,Italy,6.06
19496,Ossau-Iraty,France,2.56
19497,Bucheron,France,2.97
19498,Carré de l'Est,France,9.73
19499,Strained yoghurt,,1.99
19500,Saloio,,9.19
19501,Urdă,Romania,4.22
19502,Limburger cheese,Netherlands,9.56
6865,Burrata,Italy,1.89
19504,Murol,,6.57
19505,Le Gré des Champs,Canada,4.4
19506,Appenzeller,Switzerland,4.14
19507,Tomme cheese,France,5.79
7763,Durrus Cheese,Republic of Ireland,4.1
19509,Shanklish,,6.05
19510,Beenleigh Blue,England,4.95
19511,Pot cheese,,5.33
19512,Caşcaval,Romania,1.25
19513,Leicester cheese,England,5.44
19514,Roncal cheese,Spain,6.83
19515,Bonchester cheese,Scotland,5.55
6998,Caprino,Italy,4.12
7435,Coulommiers,France,9.34
19518,Fourme d'Ambert,France,3.73
19519,Roomano,Netherlands,8.38
19520,Kadchgall,,3.13
19521,Spinnenkäse,Germany,7.6
19522,Dutch Cheese Markets,Netherlands,9.96
9355,Benedictine,United States of America,8.97
19524,Wedginald,,6.92
19525,Bermuda Triangle,United States of America,7.97
19526,Sbrinz,Switzerland,2.19
19527,Harbourne Blue,England,1.54
19528,Bouq Émissaire,Canada,9.94
19529,Lincolnshire Poacher,England,8.57
19530,Mozzarella di Bufala Campana,Italy,1.34
19531,Caruchon Papillion,,1.19
19532,Caravane cheese,Mauritania,5.73
19533,Anejo Enchilado cheese,,2.41
19534,Stilton,England,3.78
19535,Idiazabal cheese,Spain,2.99
19536,Veldhuizen Greens Creek Cheese,,6.73
19537,Kwaito cheese,South Africa,7.47
19538,Tilsit cheese,Denmark,7.72
19539,Sakura cheese,Japan,7.23
19540,Ilchester Cheese Company,England,9.73
19541,Obatzda,,8.56
19542,Edam,Netherlands,4.45
19543,Requesón,,7.16
19544,St Pat,United States of America,3.48
19545,Little Derby,,9.94
